time,cell_id,cell_type,substrate,fba_reaction,flux_lb,flux_value,concentration_mM
16,0,zone_1,oxygen,r0855,-19.7695,-3.74346e-12,42.8869
16,5,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,5,zone_2,oxygen,r0855,-19.7382,-3.74346e-12,37.6985
16,5,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,5,zone_2,oxygen,r0855,-19.7382,-3.74346e-12,37.6985
16,1,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
16,1,zone_1,oxygen,r0855,-19.7695,-3.74346e-12,42.8869
16,1,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
16,1,zone_1,oxygen,r0855,-19.7695,-3.74346e-12,42.8869
16,6,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,6,zone_3,oxygen,r0855,-19.6451,-3.74346e-12,27.6806
16,6,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,6,zone_3,oxygen,r0855,-19.6451,-3.74346e-12,27.6806
16,2,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
16,2,zone_1,oxygen,r0855,-19.7678,-3.74346e-12,42.5602
16,2,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
16,2,zone_1,oxygen,r0855,-19.7678,-3.74346e-12,42.5602
16,7,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,7,zone_3,oxygen,r0855,-19.6405,-3.74346e-12,27.3163
16,7,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,7,zone_3,oxygen,r0855,-19.6405,-3.74346e-12,27.3163
16,3,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,3,zone_2,oxygen,r0855,-19.7428,-3.74346e-12,38.3751
16,3,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,3,zone_2,oxygen,r0855,-19.7428,-3.74346e-12,38.3751
18,4,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,4,zone_2,oxygen,r0855,-19.7416,-3.74346e-12,38.1979
18,4,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,4,zone_2,oxygen,r0855,-19.7416,-3.74346e-12,38.1979
18,0,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,0,zone_1,oxygen,r0855,-19.7683,-3.74346e-12,42.6664
18,0,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,0,zone_1,oxygen,r0855,-19.7683,-3.74346e-12,42.6664
18,8,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,8,zone_3,oxygen,r0855,-19.6498,-3.74346e-12,28.0588
18,8,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,8,zone_3,oxygen,r0855,-19.6498,-3.74346e-12,28.0588
18,1,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,1,zone_1,oxygen,r0855,-19.7683,-3.74346e-12,42.6664
18,1,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,1,zone_1,oxygen,r0855,-19.7683,-3.74346e-12,42.6664
18,5,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,5,zone_2,oxygen,r0855,-19.7397,-3.74346e-12,37.9215
18,5,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,5,zone_2,oxygen,r0855,-19.7397,-3.74346e-12,37.9215
18,2,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,2,zone_1,oxygen,r0855,-19.7667,-3.74346e-12,42.3553
18,2,zone_1,glucose,r1032,-9.08942,4.11793e-12,4.991
18,2,zone_1,oxygen,r0855,-19.7667,-3.74346e-12,42.3553
18,6,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,6,zone_3,oxygen,r0855,-19.6565,-3.74346e-12,28.6158
18,6,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,6,zone_3,oxygen,r0855,-19.6565,-3.74346e-12,28.6158
18,3,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,3,zone_2,oxygen,r0855,-19.744,-3.74346e-12,38.56
18,3,zone_2,glucose,r1032,-9.08942,4.11793e-12,4.991
18,3,zone_2,oxygen,r0855,-19.744,-3.74346e-12,38.56
18,7,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,7,zone_3,oxygen,r0855,-19.6523,-3.74346e-12,28.2639
18,7,zone_3,glucose,r1032,-9.08942,4.11793e-12,4.991
18,7,zone_3,oxygen,r0855,-19.6523,-3.74346e-12,28.2639
20,8,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,8,zone_3,oxygen,r0855,-19.6601,-3.74346e-12,28.9173
20,0,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,0,zone_1,oxygen,r0855,-19.7673,-3.74346e-12,42.4678
20,8,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,8,zone_3,oxygen,r0855,-19.6601,-3.74346e-12,28.9173
20,0,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,0,zone_1,oxygen,r0855,-19.7673,-3.74346e-12,42.4678
20,4,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,4,zone_2,oxygen,r0855,-19.7428,-3.74346e-12,38.3805
20,4,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,4,zone_2,oxygen,r0855,-19.7428,-3.74346e-12,38.3805
20,1,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,1,zone_1,oxygen,r0855,-19.7673,-3.74346e-12,42.4678
20,1,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,1,zone_1,oxygen,r0855,-19.7673,-3.74346e-12,42.4678
20,5,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,5,zone_2,oxygen,r0855,-19.7411,-3.74346e-12,38.1203
20,5,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,5,zone_2,oxygen,r0855,-19.7411,-3.74346e-12,38.1203
20,2,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,2,zone_1,oxygen,r0855,-19.7657,-3.74346e-12,42.1731
20,2,zone_1,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,2,zone_1,oxygen,r0855,-19.7657,-3.74346e-12,42.1731
20,6,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,6,zone_3,oxygen,r0855,-19.6662,-3.74346e-12,29.4587
20,6,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,6,zone_3,oxygen,r0855,-19.6662,-3.74346e-12,29.4587
20,3,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,3,zone_2,oxygen,r0855,-19.745,-3.74346e-12,38.721
20,3,zone_2,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,3,zone_2,oxygen,r0855,-19.745,-3.74346e-12,38.721
20,7,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,7,zone_3,oxygen,r0855,-19.6624,-3.74346e-12,29.1181
